bitstring,count
101010000010,1.0
101010000101,277.0
101010000111,277.0
101010001000,1.0
101010001010,1.0
101010001101,276.0
101010001111,261.0
101010010001,1.0
101010010011,1.0
101010010100,15.0
101010010110,11.0
101010011100,7.0
101010011110,12.0
101010100101,305.0
101010100111,256.0
101010101000,1.0
101010101010,2.0
101010101101,297.0
101010101111,278.0
101010110001,1.0
101010110100,9.0
101010110110,6.0
101010111001,1.0
101010111100,16.0
101010111110,13.0
101011000001,16.0
101011000011,9.0
101011001001,8.0
101011001011,11.0
101011010101,295.0
101011010111,304.0
101011011101,319.0
101011011111,264.0
101011100001,16.0
101011100011,12.0
101011101001,5.0
101011101011,13.0
101011110101,302.0
101011110111,294.0
101011111101,299.0
101011111111,297.0
101100000001,8.0
101100000011,13.0
101100000100,309.0
101100000110,322.0
101100001001,14.0
101100001011,15.0
101100001100,294.0
101100001110,322.0
101100011101,1.0
101100011111,1.0
101100100001,8.0
101100100011,6.0
101100100100,316.0
101100100110,296.0
101100101001,13.0
101100101011,16.0
101100101100,306.0
101100101110,304.0
101100111111,2.0
101101000000,12.0
101101000010,13.0
101101000101,11.0
101101000111,15.0
101101001000,10.0
101101001010,18.0
101101001101,18.0
101101001111,13.0
101101010001,16.0
101101010011,10.0
101101010100,267.0
101101010110,297.0
101101011001,12.0
101101011011,22.0
101101011100,288.0
101101011110,281.0
101101100000,16.0
101101100010,14.0
101101100101,11.0
101101100111,11.0
101101101000,13.0
101101101010,8.0
101101101101,13.0
101101101111,8.0
101101110001,13.0
101101110011,11.0
101101110100,240.0
101101110110,311.0
101101111001,8.0
101101111011,15.0
101101111100,300.0
101101111110,318.0
101110000001,9.0
101110000011,19.0
101110000100,323.0
101110000110,334.0
101110001001,8.0
101110001011,12.0
101110001100,315.0
101110001110,294.0
101110010101,2.0
101110100001,16.0
101110100011,8.0
101110100100,311.0
101110100110,275.0
101110101001,7.0
101110101011,10.0
101110101100,323.0
101110101110,297.0
101110110101,1.0
101110110111,1.0
101110111111,1.0
101111000000,17.0
101111000010,12.0
101111000101,8.0
101111000111,14.0
101111001000,11.0
101111001010,20.0
101111001101,11.0
101111001111,6.0
101111010001,8.0
101111010011,9.0
101111010100,301.0
101111010110,269.0
101111011001,15.0
101111011011,18.0
101111011100,290.0
101111011110,318.0
101111100000,12.0
101111100010,13.0
101111100101,12.0
101111100111,14.0
101111101000,6.0
101111101010,9.0
101111101101,10.0
101111101111,12.0
101111110001,8.0
101111110011,8.0
101111110100,274.0
101111110110,275.0
101111111001,5.0
101111111011,13.0
101111111100,296.0
101111111110,277.0
110000000001,276.0
110000000011,311.0
110000000100,6970.0
